Description	ID	lycopersicum	appendiculatum	inflata	tuberosum	sinuosa	axillaris	attenuata
OG0004624	OG0004624	1	2	2	1	2	1	2
OG0004625	OG0004625	2	2	3	0	2	2	0
OG0004626	OG0004626	2	1	3	2	2	0	1
OG0004627	OG0004627	1	1	4	1	1	2	1
OG0004628	OG0004628	1	1	3	1	1	2	2
OG0004629	OG0004629	0	0	7	0	1	2	1
OG0004630	OG0004630	1	0	2	2	4	1	1
OG0004631	OG0004631	1	1	2	4	1	1	1
OG0004632	OG0004632	1	1	3	1	1	2	2
OG0004633	OG0004633	1	1	3	1	1	2	2
OG0004634	OG0004634	2	2	2	1	2	1	1
OG0004635	OG0004635	1	1	3	1	1	2	2
OG0004636	OG0004636	2	1	2	1	1	2	2
OG0004637	OG0004637	2	2	1	2	1	1	2
OG0004638	OG0004638	2	1	1	2	2	1	2
OG0004639	OG0004639	2	1	2	0	2	2	2
OG0004640	OG0004640	1	1	2	1	2	2	2
OG0004641	OG0004641	1	1	4	1	1	2	1
OG0004642	OG0004642	2	1	2	1	1	2	2
OG0004643	OG0004643	2	1	2	2	1	2	1
OG0004644	OG0004644	1	1	1	1	1	5	1
OG0004645	OG0004645	5	1	1	1	1	1	1
OG0004646	OG0004646	2	2	2	0	1	2	2
OG0004647	OG0004647	1	2	2	1	1	2	2
OG0004648	OG0004648	1	1	2	1	2	2	2
OG0004649	OG0004649	1	2	2	1	1	3	1
OG0004650	OG0004650	1	1	2	2	1	2	2
OG0004651	OG0004651	1	1	2	1	2	2	2
OG0004652	OG0004652	2	1	2	1	1	2	2
OG0004653	OG0004653	1	1	2	2	1	2	2
OG0004654	OG0004654	1	2	1	1	3	2	1
OG0004655	OG0004655	2	2	1	1	2	1	2
OG0004656	OG0004656	2	2	1	2	2	1	1
OG0004657	OG0004657	0	1	2	1	1	4	2
OG0004658	OG0004658	2	2	1	2	1	1	2
OG0004659	OG0004659	2	1	2	1	1	2	2
OG0004660	OG0004660	1	2	2	1	1	2	2
OG0004661	OG0004661	1	1	2	1	1	3	2
OG0004662	OG0004662	1	1	4	1	1	1	2
OG0004663	OG0004663	2	1	2	1	2	2	1
OG0004664	OG0004664	1	1	3	1	1	3	1
OG0004665	OG0004665	2	2	1	2	2	1	1
OG0004666	OG0004666	2	2	1	2	1	1	2
OG0004667	OG0004667	1	2	2	1	1	2	2
OG0004668	OG0004668	2	2	2	1	1	2	1
OG0004669	OG0004669	2	1	2	1	1	2	2
OG0004670	OG0004670	1	1	3	1	1	1	3
OG0004671	OG0004671	1	1	2	1	1	2	3
OG0004672	OG0004672	2	3	1	1	1	2	1
OG0004673	OG0004673	2	1	2	1	1	3	1
OG0004674	OG0004674	2	1	2	1	1	2	2
OG0004675	OG0004675	1	1	4	1	1	2	1
OG0004676	OG0004676	2	1	2	2	1	2	1
OG0004677	OG0004677	2	1	2	1	1	2	2
OG0004678	OG0004678	1	1	3	1	1	3	1
OG0004679	OG0004679	1	1	2	0	1	2	4
OG0004680	OG0004680	0	2	3	1	1	1	3
OG0004681	OG0004681	2	1	2	2	1	1	2
OG0004682	OG0004682	2	2	1	2	1	2	1
OG0004683	OG0004683	2	3	1	2	1	1	1
OG0004684	OG0004684	2	2	1	2	1	1	2
OG0004685	OG0004685	2	2	1	3	1	1	1
OG0004686	OG0004686	2	1	1	2	1	2	2
OG0004687	OG0004687	2	2	2	2	1	1	1
OG0004688	OG0004688	1	0	3	1	1	3	2
OG0004689	OG0004689	2	3	0	2	2	1	1
OG0004690	OG0004690	2	2	1	2	2	1	1
OG0004691	OG0004691	1	2	1	2	2	2	1
OG0004692	OG0004692	2	2	1	2	2	1	1
OG0004693	OG0004693	1	1	2	1	3	2	1
OG0004694	OG0004694	2	2	1	2	1	1	2
OG0004695	OG0004695	2	1	1	2	2	1	2
OG0004696	OG0004696	1	1	3	1	2	2	1
OG0004697	OG0004697	2	2	2	1	1	1	2
OG0004698	OG0004698	1	2	2	1	1	2	2
OG0004699	OG0004699	1	2	2	1	2	2	1
OG0004700	OG0004700	1	1	3	2	1	3	0
OG0004701	OG0004701	1	2	1	3	3	1	0
OG0004702	OG0004702	1	1	2	1	2	3	1
OG0004703	OG0004703	2	5	1	0	1	1	1
OG0004704	OG0004704	2	1	2	2	1	2	1
OG0004705	OG0004705	2	2	2	2	2	0	1
OG0004706	OG0004706	2	2	1	1	1	1	3
OG0004707	OG0004707	2	2	1	2	1	1	2
OG0004708	OG0004708	2	2	1	2	2	1	1
OG0004709	OG0004709	1	3	2	1	1	2	1
OG0004710	OG0004710	2	2	1	1	2	1	2
OG0004711	OG0004711	2	1	1	2	2	1	2
OG0004712	OG0004712	0	6	0	0	1	0	4
OG0004713	OG0004713	2	1	1	4	1	1	1
OG0004714	OG0004714	2	2	2	1	2	1	1
OG0004715	OG0004715	1	1	4	1	1	2	1
OG0004716	OG0004716	1	2	2	1	1	2	2
OG0004717	OG0004717	1	3	1	2	1	1	2
OG0004718	OG0004718	1	2	2	1	2	2	1
OG0004719	OG0004719	2	2	2	1	1	2	1
OG0004720	OG0004720	2	2	1	2	1	1	2
OG0004721	OG0004721	1	1	2	2	1	3	1
OG0004722	OG0004722	1	1	2	1	2	2	2
OG0004723	OG0004723	1	1	2	1	2	2	2
OG0004724	OG0004724	2	1	2	1	1	2	2
OG0004725	OG0004725	2	3	1	1	2	1	1
OG0004726	OG0004726	2	2	1	1	2	1	2
OG0004727	OG0004727	2	2	1	3	1	1	1
OG0004728	OG0004728	3	1	1	2	1	1	2
OG0004729	OG0004729	2	1	1	3	1	1	2
OG0004730	OG0004730	1	1	3	1	1	2	2
OG0004731	OG0004731	3	1	2	1	1	2	1
OG0004732	OG0004732	3	1	2	2	1	1	1
OG0004733	OG0004733	2	1	1	2	2	1	2
OG0004734	OG0004734	2	1	1	2	1	2	2
OG0004735	OG0004735	1	2	2	3	1	2	0
OG0004736	OG0004736	2	1	2	1	1	2	2
OG0004737	OG0004737	1	1	1	1	1	1	5
OG0004738	OG0004738	2	1	1	2	3	1	1
OG0004739	OG0004739	1	1	2	1	1	2	3
OG0004740	OG0004740	3	2	1	0	1	2	2
OG0004741	OG0004741	2	3	1	2	1	1	1
OG0004742	OG0004742	1	2	1	2	2	1	2
OG0004743	OG0004743	1	2	2	1	3	1	1
OG0004744	OG0004744	2	1	1	3	2	1	1
OG0004745	OG0004745	2	3	1	2	1	1	1
OG0004746	OG0004746	1	1	1	0	2	2	4
OG0004747	OG0004747	1	1	2	3	1	2	1
OG0004748	OG0004748	0	3	2	3	1	2	0
OG0004749	OG0004749	1	1	3	2	1	2	1
OG0004750	OG0004750	2	2	1	2	1	1	2
OG0004751	OG0004751	1	2	3	1	1	2	1
OG0004752	OG0004752	1	4	1	2	1	1	1
OG0004753	OG0004753	0	2	1	1	1	5	1
OG0004754	OG0004754	3	1	1	0	2	3	1
OG0004755	OG0004755	2	1	3	1	1	2	1
OG0004756	OG0004756	2	2	1	2	1	1	2
OG0004757	OG0004757	2	2	1	2	1	1	2
OG0004758	OG0004758	2	1	2	2	1	2	1
OG0004759	OG0004759	2	2	2	1	1	2	1
OG0004760	OG0004760	2	2	3	1	1	1	1
OG0004761	OG0004761	2	2	2	0	1	2	2
OG0004762	OG0004762	1	1	3	2	1	2	1
OG0004763	OG0004763	1	1	4	1	1	2	1
OG0004764	OG0004764	3	2	1	3	1	1	0
OG0004765	OG0004765	1	1	1	5	1	1	1
OG0004766	OG0004766	2	2	1	2	1	1	2
OG0004767	OG0004767	1	1	1	1	1	1	5
OG0004768	OG0004768	2	2	1	2	2	1	1
OG0004769	OG0004769	2	1	2	1	1	2	2
OG0004770	OG0004770	1	2	1	2	2	1	2
OG0004771	OG0004771	0	1	2	2	2	2	2
OG0004772	OG0004772	1	1	2	1	1	2	3
OG0004773	OG0004773	1	2	2	1	1	2	2
OG0004774	OG0004774	1	1	2	2	2	2	1
OG0004775	OG0004775	2	2	1	2	1	1	2
OG0004776	OG0004776	1	1	2	1	2	2	2
OG0004777	OG0004777	2	1	2	2	1	1	2
OG0004778	OG0004778	2	1	2	1	2	2	1
OG0004779	OG0004779	1	2	2	1	1	2	2
OG0004780	OG0004780	1	1	2	1	2	2	2
OG0004781	OG0004781	1	1	4	0	2	1	2
OG0004782	OG0004782	1	1	3	1	1	2	2
OG0004783	OG0004783	1	1	2	1	2	3	1
OG0004784	OG0004784	1	2	2	1	1	2	2
OG0004785	OG0004785	1	1	3	1	1	2	2
OG0004786	OG0004786	1	1	3	1	1	2	2
OG0004787	OG0004787	2	2	1	2	2	1	1
OG0004788	OG0004788	2	1	2	2	1	1	2
OG0004789	OG0004789	1	1	2	2	1	2	2
OG0004790	OG0004790	2	1	2	2	1	2	1
OG0004791	OG0004791	1	1	2	1	1	3	2
OG0004792	OG0004792	2	3	1	1	1	1	2
OG0004793	OG0004793	1	1	3	1	1	2	2
OG0004794	OG0004794	2	2	1	2	1	1	2
OG0004795	OG0004795	2	1	2	1	1	2	2
OG0004796	OG0004796	1	1	2	2	1	3	1
OG0004797	OG0004797	1	2	2	1	1	2	2
OG0004798	OG0004798	1	1	4	0	1	2	2
OG0004799	OG0004799	2	2	1	2	1	2	1
OG0004800	OG0004800	1	1	3	1	1	2	2
OG0004801	OG0004801	1	1	2	1	2	2	2
OG0004802	OG0004802	2	2	1	2	0	2	2
OG0004803	OG0004803	1	1	0	0	0	0	9
OG0004804	OG0004804	0	1	2	0	0	0	8
OG0004805	OG0004805	2	1	1	2	0	1	4
OG0004806	OG0004806	1	1	3	2	0	2	2
OG0004807	OG0004807	1	3	3	2	0	1	1
OG0004808	OG0004808	1	4	1	2	0	1	2
OG0004809	OG0004809	0	0	0	4	0	0	7
OG0004810	OG0004810	1	1	2	4	0	2	1
OG0004811	OG0004811	1	0	6	0	0	3	1
OG0004812	OG0004812	1	1	3	1	0	3	2
OG0004813	OG0004813	1	4	2	1	0	2	1
OG0004814	OG0004814	2	4	1	1	0	1	2
OG0004815	OG0004815	1	2	2	2	0	2	2
OG0004816	OG0004816	0	4	3	0	0	0	4
OG0004817	OG0004817	2	2	2	1	0	2	2
OG0004818	OG0004818	1	1	4	1	0	2	2
OG0004819	OG0004819	2	2	1	2	0	2	2
OG0004820	OG0004820	2	2	2	1	0	3	1
OG0004821	OG0004821	1	0	5	1	0	2	2
OG0004822	OG0004822	2	2	2	1	0	2	2
OG0004823	OG0004823	6	2	0	1	0	0	2
OG0004824	OG0004824	2	2	2	2	0	2	1
OG0004825	OG0004825	2	2	2	1	0	2	2
OG0004826	OG0004826	2	1	3	2	0	2	1
OG0004827	OG0004827	0	0	4	0	0	6	1
OG0004828	OG0004828	1	1	2	1	0	3	3
OG0004829	OG0004829	1	1	2	1	0	2	4
OG0004830	OG0004830	2	2	1	2	0	2	2
OG0004831	OG0004831	4	0	2	2	0	2	1
OG0004832	OG0004832	1	1	1	3	0	3	2
OG0004833	OG0004833	1	1	3	1	0	2	3
OG0004834	OG0004834	3	4	0	2	0	0	2
OG0004835	OG0004835	5	3	0	2	0	0	1
OG0004836	OG0004836	0	4	1	3	0	2	1
OG0004837	OG0004837	1	2	2	2	0	2	2
OG0004838	OG0004838	5	0	2	2	0	1	1
OG0004839	OG0004839	2	3	2	1	0	2	1
OG0004840	OG0004840	1	1	2	2	0	2	3
OG0004841	OG0004841	2	4	1	2	0	1	1
OG0004842	OG0004842	2	1	2	4	0	2	0
OG0004843	OG0004843	6	0	2	2	0	1	0
OG0004844	OG0004844	0	0	4	0	0	7	0
OG0004845	OG0004845	1	0	4	1	0	5	0
OG0004846	OG0004846	1	0	6	0	0	4	0
OG0004848	OG0004848	5	3	0	0	0	3	0
OG0004849	OG0004849	2	1	5	0	0	3	0
OG0004850	OG0004850	0	0	7	1	0	3	0
OG0004851	OG0004851	1	4	3	0	0	3	0
OG0004852	OG0004852	0	0	2	0	0	9	0
OG0004853	OG0004853	2	4	0	1	0	4	0
OG0004854	OG0004854	0	5	2	2	0	2	0
OG0004855	OG0004855	0	1	4	0	0	6	0
OG0004856	OG0004856	0	1	9	0	0	1	0
OG0004857	OG0004857	1	1	3	1	0	5	0
OG0004858	OG0004858	0	0	7	0	0	4	0
OG0004859	OG0004859	3	4	2	0	0	2	0
OG0004860	OG0004860	0	1	6	0	0	4	0
OG0004861	OG0004861	5	2	1	1	0	2	0
OG0004862	OG0004862	8	0	2	1	0	0	0
OG0004863	OG0004863	7	2	2	0	0	0	0
OG0004864	OG0004864	0	6	1	4	0	0	0
OG0004865	OG0004865	0	10	0	1	0	0	0
OG0004866	OG0004866	0	3	0	8	0	0	0
OG0004867	OG0004867	9	1	0	1	0	0	0
OG0004868	OG0004868	1	9	0	1	0	0	0
OG0004869	OG0004869	8	2	0	1	0	0	0
OG0004870	OG0004870	0	3	0	8	0	0	0
OG0004871	OG0004871	0	8	0	3	0	0	0
OG0004874	OG0004874	2	1	1	1	2	1	2
OG0004875	OG0004875	2	2	1	0	2	1	2
OG0004876	OG0004876	2	1	1	2	2	1	1
OG0004877	OG0004877	1	1	2	1	2	1	2
OG0004878	OG0004878	2	1	2	1	2	2	0
OG0004879	OG0004879	1	1	2	2	1	2	1
OG0004880	OG0004880	2	1	1	2	1	1	2
OG0004881	OG0004881	2	2	1	1	2	1	1
OG0004882	OG0004882	2	0	1	3	3	1	0
OG0004883	OG0004883	1	1	2	1	1	2	2
OG0004884	OG0004884	3	1	0	1	3	0	2
OG0004885	OG0004885	1	1	1	2	2	1	2
OG0004886	OG0004886	3	1	1	1	1	1	2
OG0004887	OG0004887	1	2	1	2	2	1	1
OG0004888	OG0004888	1	1	2	1	1	2	2
OG0004889	OG0004889	1	1	2	1	2	2	1
OG0004890	OG0004890	1	1	2	1	1	2	2
OG0004891	OG0004891	1	1	2	3	1	1	1
OG0004892	OG0004892	1	2	2	1	2	1	1
OG0004893	OG0004893	1	2	2	1	2	1	1
OG0004894	OG0004894	2	1	1	2	2	1	1
OG0004895	OG0004895	2	1	1	2	2	1	1
OG0004896	OG0004896	1	2	1	2	1	2	1
OG0004897	OG0004897	2	1	1	1	3	1	1
OG0004898	OG0004898	2	2	0	3	2	1	0
OG0004899	OG0004899	2	1	1	2	1	1	2
OG0004900	OG0004900	1	1	1	3	1	1	2
OG0004901	OG0004901	1	1	3	1	2	2	0
OG0004902	OG0004902	2	1	1	2	1	1	2
OG0004903	OG0004903	2	1	1	1	2	1	2
OG0004904	OG0004904	1	1	2	1	2	2	1
OG0004905	OG0004905	2	2	1	1	2	1	1
OG0004906	OG0004906	1	2	1	1	1	1	3
OG0004907	OG0004907	0	2	3	0	3	2	0
OG0004908	OG0004908	1	1	2	1	1	2	2
OG0004909	OG0004909	2	1	2	2	1	1	1
OG0004910	OG0004910	1	1	2	1	1	2	2
OG0004911	OG0004911	1	1	1	2	2	1	2
OG0004912	OG0004912	2	1	1	1	2	1	2
OG0004913	OG0004913	1	2	1	1	2	1	2
OG0004914	OG0004914	0	3	1	0	3	2	1
OG0004915	OG0004915	2	2	2	1	1	1	1
OG0004916	OG0004916	1	1	2	2	2	1	1
OG0004917	OG0004917	1	1	2	2	1	2	1
OG0004918	OG0004918	1	1	1	2	3	1	1
OG0004919	OG0004919	2	2	1	2	2	1	0
OG0004920	OG0004920	2	1	3	0	2	1	1
OG0004921	OG0004921	2	0	0	1	7	0	0
OG0004922	OG0004922	1	2	1	1	4	1	0
OG0004923	OG0004923	2	1	1	2	2	1	1
OG0004924	OG0004924	1	1	2	1	1	3	1
OG0004925	OG0004925	1	1	2	1	1	2	2
OG0004926	OG0004926	2	1	2	2	1	1	1
OG0004927	OG0004927	1	1	1	4	1	1	1
OG0004928	OG0004928	1	1	1	3	2	1	1
OG0004929	OG0004929	1	1	2	1	2	2	1
OG0004930	OG0004930	2	2	1	2	1	1	1
OG0004931	OG0004931	1	0	1	2	5	1	0
OG0004932	OG0004932	1	1	3	1	1	2	1
OG0004933	OG0004933	1	1	2	1	2	2	1
OG0004934	OG0004934	1	1	1	1	3	2	1
OG0004935	OG0004935	1	1	2	1	1	2	2
OG0004936	OG0004936	1	1	2	1	1	2	2
OG0004937	OG0004937	2	1	1	1	2	1	2
OG0004938	OG0004938	1	1	1	2	3	1	1
OG0004939	OG0004939	1	1	3	1	1	2	1
OG0004940	OG0004940	2	1	1	1	2	1	2
OG0004941	OG0004941	3	1	1	1	2	1	1
OG0004942	OG0004942	2	1	1	0	4	0	2
OG0004943	OG0004943	1	1	2	1	1	2	2
OG0004944	OG0004944	2	1	1	2	1	1	2
OG0004945	OG0004945	1	1	2	1	1	2	2
OG0004946	OG0004946	1	1	2	1	1	2	2
OG0004947	OG0004947	1	1	2	1	1	2	2
OG0004948	OG0004948	1	1	2	1	1	2	2
OG0004949	OG0004949	1	1	2	1	1	2	2
OG0004950	OG0004950	1	1	3	1	1	2	1
OG0004951	OG0004951	2	1	1	2	1	1	2
OG0004952	OG0004952	3	1	2	2	1	1	0
OG0004953	OG0004953	2	1	1	1	1	2	2
OG0004954	OG0004954	2	1	1	2	1	1	2
OG0004955	OG0004955	1	1	3	1	1	2	1
OG0004956	OG0004956	1	1	2	1	1	2	2
OG0004957	OG0004957	1	2	1	3	1	1	1
OG0004958	OG0004958	1	1	2	1	1	2	2
OG0004959	OG0004959	3	1	1	2	1	1	1
OG0004960	OG0004960	2	0	2	1	1	2	2
OG0004961	OG0004961	1	1	2	0	2	2	2
OG0004962	OG0004962	1	1	2	1	1	2	2
OG0004963	OG0004963	2	2	1	2	1	1	1
OG0004964	OG0004964	1	1	2	1	1	3	1
OG0004965	OG0004965	1	1	1	2	1	3	1
OG0004966	OG0004966	1	2	2	2	1	1	1
OG0004967	OG0004967	2	4	1	0	1	1	1
OG0004968	OG0004968	1	1	2	1	1	2	2
OG0004969	OG0004969	1	1	3	1	1	2	1
OG0004970	OG0004970	1	1	3	1	1	2	1
OG0004971	OG0004971	2	2	1	2	1	1	1
OG0004972	OG0004972	1	2	1	2	1	1	2
OG0004973	OG0004973	1	1	2	1	2	2	1
OG0004974	OG0004974	2	1	3	1	1	1	1
OG0004975	OG0004975	1	2	1	2	1	2	1
OG0004976	OG0004976	0	0	4	0	1	4	1
OG0004977	OG0004977	2	2	1	1	2	1	1
OG0004978	OG0004978	1	3	1	1	2	1	1
OG0004979	OG0004979	2	2	1	2	1	1	1
OG0004980	OG0004980	1	2	1	1	2	1	2
OG0004981	OG0004981	1	1	2	1	2	2	1
OG0004982	OG0004982	0	0	0	0	6	2	2
OG0004983	OG0004983	2	2	1	1	1	1	2
OG0004984	OG0004984	1	2	1	2	1	1	2
OG0004985	OG0004985	1	3	1	2	2	1	0
OG0004986	OG0004986	1	1	2	1	1	2	2
OG0004987	OG0004987	2	2	1	2	1	1	1
OG0004988	OG0004988	0	2	0	5	1	0	2
OG0004989	OG0004989	1	2	2	1	2	1	1
OG0004990	OG0004990	1	1	1	2	2	1	2
OG0004991	OG0004991	2	2	1	1	2	1	1
OG0004992	OG0004992	1	1	2	0	2	4	0
OG0004993	OG0004993	1	2	1	2	2	1	1
OG0004994	OG0004994	1	1	1	1	3	1	2
OG0004995	OG0004995	1	2	1	2	2	1	1
OG0004996	OG0004996	2	2	1	1	2	1	1
OG0004997	OG0004997	2	2	1	1	2	1	1
OG0004998	OG0004998	1	2	1	2	2	1	1
OG0004999	OG0004999	1	4	1	1	1	1	1
OG0005000	OG0005000	2	2	1	0	3	2	0
OG0005001	OG0005001	1	2	1	2	2	1	1
OG0005002	OG0005002	1	4	0	0	5	0	0
OG0005003	OG0005003	1	0	0	7	2	0	0
OG0005004	OG0005004	1	1	2	1	3	1	1
OG0005005	OG0005005	1	1	2	2	1	2	1
OG0005006	OG0005006	2	1	0	0	2	0	5
OG0005007	OG0005007	2	2	1	1	1	1	2
OG0005008	OG0005008	2	1	1	2	2	1	1
OG0005009	OG0005009	2	1	2	1	2	1	1
OG0005010	OG0005010	1	1	2	1	1	2	2
OG0005011	OG0005011	1	1	4	1	1	1	1
OG0005012	OG0005012	1	1	3	1	1	2	1
OG0005013	OG0005013	1	1	2	1	2	2	1
OG0005014	OG0005014	0	7	0	0	3	0	0
OG0005015	OG0005015	2	1	1	2	2	1	1
OG0005016	OG0005016	1	1	3	1	1	2	1
OG0005017	OG0005017	2	1	1	2	2	1	1
OG0005018	OG0005018	3	3	3	0	1	0	0
OG0005019	OG0005019	1	1	3	1	1	2	1
OG0005020	OG0005020	1	2	1	1	2	1	2
OG0005021	OG0005021	1	2	1	2	1	1	2
OG0005022	OG0005022	1	2	1	2	1	1	2
OG0005023	OG0005023	1	2	1	2	2	1	1
OG0005024	OG0005024	1	2	2	1	1	2	1
OG0005025	OG0005025	1	2	1	2	2	0	2
OG0005026	OG0005026	1	2	2	1	1	2	1
OG0005027	OG0005027	2	2	1	2	1	1	1
OG0005028	OG0005028	1	2	1	1	1	2	2
OG0005029	OG0005029	1	1	2	2	1	2	1
OG0005030	OG0005030	1	3	1	2	1	0	2
OG0005031	OG0005031	2	1	2	1	1	2	1
OG0005032	OG0005032	3	0	0	5	2	0	0
OG0005033	OG0005033	2	0	1	1	2	2	2
OG0005034	OG0005034	1	1	3	1	1	1	2
OG0005035	OG0005035	1	1	2	1	1	3	1
OG0005036	OG0005036	2	1	2	1	1	2	1
OG0005037	OG0005037	1	2	2	1	2	1	1
OG0005038	OG0005038	2	2	1	2	1	1	1
OG0005039	OG0005039	1	1	2	1	1	2	2
OG0005040	OG0005040	1	1	2	1	1	2	2
OG0005041	OG0005041	2	1	1	1	2	1	2
OG0005042	OG0005042	1	1	2	1	1	2	2
OG0005043	OG0005043	1	2	0	2	1	0	4
OG0005044	OG0005044	0	7	0	0	3	0	0
OG0005045	OG0005045	1	1	2	1	1	2	2
OG0005046	OG0005046	1	2	1	0	2	2	2
OG0005047	OG0005047	1	1	1	1	1	1	4
OG0005048	OG0005048	2	2	1	1	2	1	1
OG0005049	OG0005049	2	1	1	1	3	1	1
OG0005050	OG0005050	2	2	1	2	2	1	0
OG0005051	OG0005051	1	1	2	1	1	2	2
OG0005052	OG0005052	1	1	2	1	1	2	2
OG0005053	OG0005053	1	1	1	2	2	1	2
OG0005054	OG0005054	2	1	1	1	1	2	2
OG0005055	OG0005055	2	2	1	1	1	1	2
OG0005056	OG0005056	1	1	1	1	2	2	2
OG0005057	OG0005057	1	3	1	1	1	1	2
OG0005058	OG0005058	1	1	1	1	4	1	1
OG0005059	OG0005059	1	1	3	1	1	1	2
OG0005060	OG0005060	1	1	2	1	1	1	3
OG0005061	OG0005061	3	1	1	1	1	2	1
OG0005062	OG0005062	2	2	1	2	1	1	1
OG0005063	OG0005063	2	1	1	2	1	1	2
OG0005064	OG0005064	1	2	1	1	2	1	2
OG0005065	OG0005065	1	1	1	0	4	1	2
OG0005066	OG0005066	1	1	3	1	1	2	1
OG0005067	OG0005067	3	1	2	2	1	0	1
OG0005068	OG0005068	2	1	1	1	2	1	2
OG0005069	OG0005069	2	1	1	2	1	1	2
OG0005070	OG0005070	2	1	1	3	1	1	1
OG0005071	OG0005071	1	1	1	1	3	1	2
OG0005072	OG0005072	1	1	2	1	1	2	2
OG0005073	OG0005073	1	5	1	1	1	1	0
OG0005074	OG0005074	2	1	1	1	3	1	1
OG0005075	OG0005075	2	1	1	2	1	1	2
OG0005076	OG0005076	1	1	2	1	2	2	1
OG0005077	OG0005077	2	1	1	2	2	1	1
OG0005078	OG0005078	1	1	3	1	1	2	1
OG0005079	OG0005079	1	1	2	1	1	3	1
OG0005080	OG0005080	2	1	1	2	1	1	2
OG0005081	OG0005081	1	1	2	1	1	2	2
OG0005082	OG0005082	1	1	3	1	1	2	1
OG0005083	OG0005083	1	2	3	0	1	2	1
OG0005084	OG0005084	2	1	3	1	1	1	1
OG0005085	OG0005085	1	1	3	1	1	1	2
OG0005086	OG0005086	1	1	3	2	1	1	1
OG0005087	OG0005087	1	1	3	1	1	2	1
OG0005088	OG0005088	1	0	3	1	2	1	2
OG0005089	OG0005089	1	1	2	1	1	1	3
OG0005090	OG0005090	1	2	2	1	1	2	1
OG0005091	OG0005091	1	1	3	1	1	2	1
OG0005092	OG0005092	1	1	2	1	1	1	3
OG0005093	OG0005093	1	2	1	1	2	1	2
OG0005094	OG0005094	1	1	4	1	1	1	1
OG0005095	OG0005095	2	2	1	2	1	1	1
OG0005096	OG0005096	1	2	1	3	1	1	1
OG0005097	OG0005097	1	2	1	2	2	1	1
OG0005098	OG0005098	2	1	1	1	1	1	3
OG0005099	OG0005099	2	1	2	1	1	2	1
OG0005100	OG0005100	2	1	2	2	1	1	1
OG0005101	OG0005101	1	2	2	1	1	2	1
OG0005102	OG0005102	1	1	1	1	1	3	2
OG0005103	OG0005103	1	1	2	1	1	2	2
OG0005104	OG0005104	2	1	1	2	1	1	2
OG0005105	OG0005105	1	1	3	1	2	1	1
OG0005106	OG0005106	2	0	1	4	1	1	1
OG0005107	OG0005107	2	1	1	2	2	1	1
OG0005108	OG0005108	1	1	3	1	1	2	1
OG0005109	OG0005109	1	1	2	1	1	2	2
OG0005110	OG0005110	1	0	2	1	2	2	2
OG0005111	OG0005111	2	3	2	1	1	1	0
OG0005112	OG0005112	1	1	3	1	1	2	1
OG0005113	OG0005113	0	8	0	1	1	0	0
OG0005114	OG0005114	1	2	1	2	2	1	1
OG0005115	OG0005115	2	1	2	1	1	2	1
OG0005116	OG0005116	1	1	2	1	1	3	1
OG0005117	OG0005117	2	2	1	1	2	1	1
OG0005118	OG0005118	2	1	1	1	2	1	2
OG0005119	OG0005119	1	3	1	2	1	1	1
OG0005120	OG0005120	1	2	2	1	1	2	1
OG0005121	OG0005121	1	2	2	0	2	1	2
OG0005122	OG0005122	1	2	3	1	2	1	0
OG0005123	OG0005123	1	1	2	1	1	2	2
OG0005124	OG0005124	1	2	2	2	1	2	0
OG0005125	OG0005125	2	2	1	1	2	1	1
OG0005126	OG0005126	1	2	0	1	1	4	1
OG0005127	OG0005127	5	0	0	0	4	1	0
OG0005128	OG0005128	1	1	2	3	2	1	0
OG0005129	OG0005129	1	1	1	1	1	1	4
OG0005130	OG0005130	1	2	1	2	2	1	1
OG0005131	OG0005131	1	1	2	1	2	2	1
OG0005132	OG0005132	3	1	1	1	2	1	1
OG0005133	OG0005133	2	1	2	2	1	0	2
OG0005134	OG0005134	1	1	2	1	1	2	2
OG0005135	OG0005135	2	1	2	1	2	2	0
OG0005136	OG0005136	2	1	1	2	1	2	1
OG0005137	OG0005137	1	1	2	1	1	2	2
OG0005138	OG0005138	1	2	1	2	1	1	2
OG0005139	OG0005139	1	2	2	1	1	2	1
OG0005140	OG0005140	1	1	2	1	1	2	2
OG0005141	OG0005141	1	1	2	1	1	2	2
OG0005142	OG0005142	2	1	1	2	1	1	2
OG0005143	OG0005143	2	1	2	1	2	1	1
OG0005144	OG0005144	2	1	2	1	1	2	1
OG0005145	OG0005145	2	1	0	1	2	1	3
OG0005146	OG0005146	1	1	2	1	1	2	2
OG0005147	OG0005147	1	2	1	2	2	1	1
OG0005148	OG0005148	2	2	1	1	2	2	0
OG0005149	OG0005149	1	1	2	3	1	1	1
OG0005150	OG0005150	1	1	3	1	1	2	1
OG0005151	OG0005151	1	3	1	1	2	1	1
OG0005152	OG0005152	1	1	2	1	1	2	2
OG0005153	OG0005153	0	1	4	0	1	4	0
OG0005154	OG0005154	1	1	2	1	1	2	2
OG0005155	OG0005155	1	1	2	1	2	2	1
OG0005156	OG0005156	2	1	1	1	3	1	1
OG0005157	OG0005157	1	1	2	1	1	2	2
OG0005158	OG0005158	1	1	2	1	1	2	2
OG0005159	OG0005159	2	1	2	1	1	2	1
OG0005160	OG0005160	1	1	1	2	2	2	1
OG0005161	OG0005161	1	1	1	1	1	1	4
OG0005162	OG0005162	1	1	2	1	1	2	2
